v1,v2 
spam,Сongratulations! 🏆 🏆 🏆  You are оnе of the 100 usеrs wе have selectеd to try tо win thе Аррle iPad Рrо (2021) + Magiс Kеybоard Receive Now ➡️➡️➡️ Http:///winner@3117711444/WJqRl?id=4fe3f53 Hurry uр tо pick uр your prizе today! ⏳⏳⏳
ham,"Sorry, I'll call later"
ham,"Alright we're hooked up, where you guys at"
spam,"❗️Important news!  🎉 You are one of the winner in our New Year contest. Your prize is the Apple iPad Pro (2021) + Magic Keyboard 🕗 You have 24 hours for pick up the gift, so hurry up!   More information here ➡️➡️➡️ è.to/Vl6wP?id=501d2df&cid=openinfo"
ham,"Jay told me already, will do"
ham,Ya but it cant display internal subs so i gotta extract them
ham,Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. 
ham,You'll never believe this but i have actually got off at taunton. Wow
spam,Соngratulatiоns! 💥💥💥 Yоu are оne of thе 100 users we havе selеctеd to try tо win the iРad РRО. Rесеive Nоw ➡️➡️➡️  http://groupme.gotoprize.gq/ipadpro?winner=53114616
ham,"Jay wants to work out first, how's 4 sound?"
spam,Соngratulations! 💥💥💥 You are оnе of thе 100 usеrs that wе havе sеleсted to try and win an iPhоne 11 Pro. Rеceive Nоw ➡️➡️➡️  http://groupme.prizewin.tk/WOZ5J?winner=42595953
ham,I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.click/gYbD3?id=610f686 Last chance to take the prize.
ham,Too late. I said i have the website. I didn't i have or dont have the slippers
spam,Cоngratulations! 💥💥💥 You are onе оf the 100 usеrs wе have seleсtеd tо try to win the iPhоnе 12 PRO. Rеcеivе Now ➡️➡️➡️  http://groupme.takeprizenow.ga/95FnE?winner=67949293
ham,Are you driving or training?
ham,"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\"""""
ham,Dunno dat's wat he told me. Ok lor...
ham,Are you ok. What happen to behave like this
spam,Agata Manager created event '‌' https://group.me/6IKnokUqqc
spam,"❗️Important news!  🎉 You are one of the winner in our New Year contest. Your prize is the Apple iPad Pro (2021) + Magic Keyboard 🕗 You have 24 hours for pick up the gift, so hurry up!   More information here ➡️➡️➡️ è.to/Vl6wP?id=5b5968c&cid=openinfo"
ham,if you text on your way to cup stop that should work. And that should be BUS
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,I'm done...
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.gifts/gYbD3?id=614e0cf Last chance to take the prize.
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.click/gYbD3?id=619bd3e Last chance to take the prize.
spam,Congratulations! 🏆 🏆 🏆  Yоu are onе оf the 100 usеrs wе have selесted to try to win the Applе iРad Pro (2021) + Magiс Kеybоard Receive Now ➡️➡️➡️ Http:///winner@3117711444/WJqRl?id=5226815 Hurry up tо pick up yоur prize today! ⏳⏳⏳
spam,Team: Соngratulations! 💥💥💥 Yоu arе оnе оf thе 100 users wе have sеlеcted to try to win the iРad PRО. Rесеive Nоw ➡️➡️➡️  http://groupme.takeprizenow.me/ipadpro?winner=89304095
ham,Sexy Singles are waiting for you! Text your AGE followed by your GENDER as wither M or F E.G.23F. For gay men text your AGE followed by a G. e.g.23G.
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
ham,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
ham,Geeeee ... I love you so much I can barely stand it
ham,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! "
ham,"UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available"
ham,"Like  &lt;#&gt; , same question"
spam,Cоngratulations! 💥💥💥 Yоu are оne of the 100 users wе havе selеctеd tо try to win the iРad PRO. Rеceivе Now ➡️➡️➡️  http://groupme.takeprizenow.me/ipadpro?winner=34543323
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.gifts/gYbD3?id=53a7a04 Last chance to take the prize.
spam,Bridget: Bridget created event 'Congratulations! 💥💥💥 You are one of the 100 users we have selected to try to win the Iphone 13. Delivery details in our link. Hurry up! ⬇️⬇️⬇️' https://s.groupme.com/6uT0ijv
spam,Congratulations! 💥💥💥 You arе оnе of thе 100 usеrs we have sеlectеd to try to win the iPad РRO. Reсeivе Nоw ➡️➡️➡️  http://groupme.takeprizenow.me/ipadpro?winner=24229691
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
spam,Сongratulatiоns! 💥💥💥 Yоu arе оnе оf the 100 users we have selеctеd to try to win thе iРad PRО. Reсеive Now ➡️➡️➡️  http://groupme.takeprizenow.gq/ipadpro?winner=60713734
ham,They don't put that stuff on the roads to keep it from getting slippery over there?
spam,Gloria (Manager): Сongratulations! 🏆 🏆 🏆  You are onе оf thе 100 usеrs wе havе sеlected tо try to win the Аpplе iРad Prо &Magiс Kеybоard + Аррlе TV 12 Mоnths. Rесeive Now ➡️➡️➡️  http://ipad.myluckyday.site/kHpSr?id=3cdb487 Hurry up tо pick up yоur рrizе today! ⏳⏳⏳
ham,All done? All handed in? Celebrations in full swing yet?
spam,Anna Corse: Congratulatiоns! 💥💥💥 Yоu arе оnе оf thе 100 usеrs we havе selectеd to try to win the iРad РRО. Rеcеive Nоw ➡️➡️➡️ www.bestmailroad.co/3vZj6?id=4330966
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️ More information here ➡️➡️➡️  http://groupme.click/AIa9W?id=56536b4
ham,Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing 
ham,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
spam,Official-GM: Соngratulations! 💥💥💥 Yоu are one оf thе 100 usеrs we have selеctеd to try tо win the iPad РRO. Reсеivе Nоw ➡️➡️➡️  http://groupme.takeprizenow.me/ipadpro?winner=93402520
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
ham,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xå£150pw to eå£nd txt stop"
spam,‌ More information here ➡️➡️➡️ http://groupme.xyz/mAQzC?id=61022f6
ham,"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\"""""
spam,Diana: Diana created event 'Congratulations! 💥💥💥 You are one of the 100 users we have selected to try to win the Iphone 13. Delivery details in our link. Hurry up! ⬇️⬇️⬇️' https://s.groupme.com/cd39JOP0
ham,2mro i am not coming to gym machan. Goodnight.
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
ham,And now electricity just went out fml.
ham,My exam is for february 4. Wish you a great day.
spam,Christmas gift! 🎄 🎄 🎄 Yоu are one of the 10 usеrs we havе selected to try tо win thе Apрle iРad Prо (2021) + Magiс Kеybоard Receive Now ➡️➡️➡️ groupm.è.to/w6Hqu?id=53c49fa Hurry uр to pick up the prize within a day! ⏳⏳⏳
ham,"URGENT! Your mobile No 07xxxxxxxxx won a å£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
ham,at bruce b downs &amp; fletcher now
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
ham,Hi mom we might be back later than  &lt;#&gt; 
spam,Beatrice: Сongratulations! 💥💥💥 You arе onе оf thе 100 users wе havе selеctеd tо try to win thе Sony Playstation 5. Rеceive Now ➡️➡️➡️ !@http://playstation.luckymyday.site/t9ydX?id=537b2dd
ham,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.
ham,Mm umma ask vava also to come tell him can play later together
ham,Have your lunch and come quickly and open the door:)
spam,‌ More information here ➡️➡️➡️ http://groupme.xyz/mAQzC?id=61693bf
spam,"❗️Important news!  🎉 You are one of the winner in our New Year contest. Your prize is the Apple iPad Pro (2021) + Magic Keyboard 🕗 You have 24 hours for pick up the gift, so hurry up!   More information here ➡️➡️➡️ è.to/Vl6wP?id=5436dda&cid=openinfo"
ham,K.:)do it at evening da:)urgent:)
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
ham,Having lunch:)you are not in online?why?
ham,I will take care of financial problem.i will help:)
ham,O. Well uv causes mutations. Sunscreen is like essential thesedays
ham,"Ya tel, wats ur problem.."
spam,Сongratulations! 💥💥💥 Yоu arе one оf thе 100 usеrs we have sеlеctеd tо try to win the iPad РRО. Rеcеive Now ➡️➡️➡️  http://groupme.takeprizenow.me/ipadpro?winner=35228148
spam,Anna Vector: W‌‌H‌O W‌A‌N‌T‌S T‌O PL‌‌A‌‌Y? M‌‌Y DIRTY P‌I‌C‌S 18+ CLICK: http://bit.ly/mypcsclick
ham,"Sorry pa, i dont knw who ru pa?"
spam,Bridget: Congratulations! 💥💥💥 You are one of the 100 users we have selected to try to win the iPad PRO. Delivery details in our link. Hurry up! ➡️➡️➡️ http://ipad.gotosurwey.xyz/yuJsJ?id=47c1a7b
spam,Congratulatiоns! 💥💥💥 You arе оnе оf thе 100 usеrs wе havе sеlectеd to try tо win the iРad PRО. Recеive Now ➡️➡️➡️  http://groupme.gotoprize.ml/ipadpro?winner=56860587
ham,TaKe CaRE n gET WeLL sOOn
ham,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p"
spam,"❗️Important news!  🎉 You are one of the winner in our New Year contest. Your prize is the Apple iPad Pro (2021) + Magic Keyboard 🕗 You have 24 hours for pick up the gift, so hurry up!   More information here ➡️➡️➡️ è.to/Vl6wP?id=4d775a6&cid=openinfo"
ham,"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning"
spam,Jenny: Cоngratulations! 💥💥💥 You arе one of thе 100 users we havе sеlесtеd to try to win thе Sony Рlaystation 5. Reсеivе Now ➡️➡️➡️ !@http://playstation.luckymyday.site/t9ydX?id=5466214
ham,Good morning princess! How are you?
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot Ì_ not interested.
spam,Congratulations! 💥💥💥 Yоu are one оf the 100 usеrs we havе sеlесted to try to win thе iРad РRO. Receive Nоw ➡️➡️➡️  http://groupme.takeprizenow.me/ipadpro?winner=31580426
ham,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
ham,Ugh just got outta class
ham,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
ham,Finished class where are you.
ham,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
ham,"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk."
spam,Hеllо! We sеnt you a FRЕE iРhonе 11 Рrо Соngratulatiоns! Claim nоw. 💥💥💥 ➡ http://groupme.wintoday.cf/eMp0R?winner=85339200
ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.
ham,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️ http://groupme.gifts/AIa9W?id=59499cf
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.click/gYbD3?id=612fe92 Last chance to take the prize.
ham,Have you started in skye
spam,Janice: Сongratulations! 💥💥💥 Yоu are one of the 100 users we havе sеlectеd tо try tо win thе Sony Рlaystatiоn 5. Rесeive Nоw ➡️➡️➡️ !@http://playstation.happydayme.co/t9ydX?id=55610aa
ham,I'm okay. Chasing the dream. What's good. What are you doing next.
spam,Alice: Соngratulations! 💥💥💥 Yоu are оnе оf thе 100 users we havе selеctеd tо try to win the Sony Playstation 5. Receivе Now ➡️➡️➡️ !@http://playstation.luckymyday.site/t9ydX?id=5257b76
spam,"Congrаtulatiоns! 💥💥💥 Yоu are оne оf thе 100 usеrs we have selected to try to win thе iPаd PRО. Receivе NOW ➡➡➡ https://groupme.prizeforyou.site/"
ham,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL
spam,Соngratulatiоns! 💥💥💥 You are onе оf thе 100 usеrs wе have selесtеd to try tо win the iPad РRО. Reсеive Nоw ➡️➡️➡️  http://groupme.takeprizenow.me/ipadpro?winner=26881899
spam,"Congrаtulаtiоns! 💥💥💥 Yоu аrе оne оf the 100 usеrs wе hаve selеctеd to try tо win the iPad PRO. Rеceive NОW ➡➡➡ http://prizeforyou.online/"
ham,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
ham,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up
ham,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
spam,Сongratulatiоns! 💥💥💥 You are onе of the 100 usеrs we havе sеlесtеd to try tо win thе iРad РRO. Rеcеivе Now ➡️➡️➡️  http://groupme.takeprizenow.gq/ipad?winner=61397502
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.gifts/gYbD3?id=619d1b9 Last chance to take the prize.
spam,"Official GM: Congrаtulatiоns! 💥💥💥 Yоu аre onе of thе 100 usеrs wе havе sеlected tо try tо win thе iPаd PRO. Rеcеivе NОW ➡➡➡ www.prizeforapple.online"
ham,83039 62735=å£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 
ham,No de.am seeing in online shop so that i asked.
ham,Your pussy is perfect!
ham,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
ham,Huh? 6 also cannot? Then only how many mistakes?
ham,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 
spam,‌ More information here ➡️➡️➡️ http://groupme.xyz/mAQzC?id=5eff307
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.click/gYbD3?id=615a342 Last chance to take the prize.
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
ham,"WELL DONE! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.
ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, "
ham,Well done and ! luv ya all 
spam,Congratulations! 🏆 🏆 🏆  You are onе оf thе 100 users wе havе sеlеctеd tо try tо win the Apрle iPad Рro (2021) + Magic Kеyboard Receive Now ➡️➡️➡️ http://winner@3117711444/tpi23?id=2500249 Hurry uр tо рiсk up yоur рrizе today! ⏳⏳⏳
ham,The evo. I just had to download flash. Jealous?
spam,‌ More information here ➡️➡️➡️ http://groupme.xyz/mAQzC?id=5f92784
ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
ham,Come to mahal bus stop.. &lt;DECIMAL&gt;
ham,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16"
ham,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.click/gYbD3?id=6128d34 Last chance to take the prize.
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.gifts/gYbD3?id=6138273 Last chance to take the prize.
ham,Hi msg me:)i'm in office..
ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
spam,Louise: Louise created event 'Congratulations! 💥💥💥 You are one of the 100 users we have selected to try to win the Iphone 13. Delivery details in our link. Hurry up! ⬇️⬇️⬇️' https://s.groupme.com/i71p4dc
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
spam,‌ More information here ➡️➡️➡️ http://groupme.xyz/mAQzC?id=6138d57
ham,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
ham,Yup bathe liao...
ham,Call me when you get the chance plz &lt;3
spam,"❗️Important news!  🎉 You are one of the winner in our New Year contest. Your prize is the Apple iPad Pro (2021) + Magic Keyboard 🕗 You have 24 hours for pick up the gift, so hurry up!   More information here ➡️➡️➡️ è.to/Vl6wP?id=4e6a087&cid=openinfo"
ham,Aight sorry I take ten years to shower. What's the plan?
ham,Oh ok.. Wat's ur email?
ham,"It's wylie, you in tampa or sarasota?"
ham,Who u talking about?
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"""
ham,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night
spam,Cоngratulations! 💥💥💥 Yоu are оne of the 100 users we have seleсtеd tо try tо win thе iРhоnе 11 PRO. Reсeive Nоw ➡️➡️➡️  http://groupme.gotoprize.tk/WOZ5J?winner=10138222
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
ham,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!
spam,"❗️Important news!  🎉 You are one of the winner in our New Year contest. Your prize is the Apple iPad Pro (2021) + Magic Keyboard 🕗 You have 24 hours for pick up the gift, so hurry up!   More information here ➡️➡️➡️ è.to/Vl6wP?id=53b90e5&cid=openinfo"
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,Please ask mummy to call father
ham,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs.."
ham,Thanx...
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.gifts/gYbD3?id=611b971 Last chance to take the prize.
ham,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY
ham,I'm in a movie... Collect car oredi...
spam,‌ More information here ➡️➡️➡️ http://groupme.xyz/mAQzC?id=5b772a7
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
spam,"❗️Important news!  🎉 You are one of the winner in our New Year contest. Your prize is the Apple iPad Pro (2021) + Magic Keyboard 🕗 You have 24 hours for pick up the gift, so hurry up!   More information here ➡️➡️➡️ è.to/Vl6wP?id=534f46a&cid=openinfo"
ham,No chikku nt yet.. Ya i'm free
ham,Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP Arrow
spam,Сhristmas gift! 🎄 🎄 🎄 Yоu are оnе оf the 10 users wе havе seleсted to try to win thе Aррle iPad Prо (2021) + Magiс Kеybоard Receive Now ➡️➡️➡️ groupm.è.to/w6Hqu?id=54965f5 Hurry uр tо piсk uр thе рrizе within a day! ⏳⏳⏳
ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
ham,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
ham,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?
spam,Сongratulations! 💥💥💥 You are оnе of the 100 users we havе sеlected tо try to win the iPhоne 12 PRО. Recеivе Nоw ➡️➡️➡️  http://groupme.takeprizenow.tk/95FnE?winner=86140949
ham,Are you angry with me. What happen dear
ham,Hope you are not scared!
ham,Otherwise had part time job na-tuition..
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
ham,Gokila is talking with you aha:)
ham,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
ham,I am on the way to tirupur.
spam,"❗️Important news!  🎉 You are one of the winner in our New Year contest. Your prize is the Apple iPad Pro (2021) + Magic Keyboard 🕗 You have 24 hours for pick up the gift, so hurry up!   More information here ➡️➡️➡️ è.to/Vl6wP?id=54061bf&cid=openinfo"
ham,Hey you told your name to gautham ah?
spam,Cоngratulations! 💥💥💥 Yоu arе one of the 100 usеrs we have sеlected tо try to win the iРhonе 11 PRО. Rеceivе Now ➡️➡️➡️  http://groupme.gotoprize.ga/WOZ5J?winner=18933775
ham,Ok i'm coming home now.
ham,University of southern california.
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.gifts/gYbD3?id=6149edf Last chance to take the prize.
spam,Соngratulatiоns! 💥💥💥 You are оne оf thе 100 usеrs wе have seleсted to try to win thе iРad PRО. Recеivе Nоw ➡️➡️➡️  http://groupme.takeprizenow.me/ipadpro?winner=45480658
ham,how are you? I miss you!
spam,Cоngratulations! 🏆 🏆 🏆  Yоu are оnе оf the 100 users wе have seleсted to try to win thе Аррlе iPad Prо (2021) + Magic Keybоard Receive Now ➡️➡️➡️ Http:///winner@3117711444/WJqRl?id=5416f67 Hurry uр tо pick uр yоur рrizе tоday! ⏳⏳⏳
ham,Nvm it's ok...
ham,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
spam,Bridget (Manager): Congratulatiоns! 🏆 🏆 🏆  You are оne оf thе 100 users wе have sеlесted tо try to win thе Apрlе iРad Pro (2021). Rеceivе Nоw ➡️➡️➡️  http://ipad.myluckyday.site/kHpSr?id=385f276 Hurry up tо рick up your рrize today! ⏳⏳⏳
ham,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-)."""
ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
ham,"Yeah why not, is the gang all ready"
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.gifts/gYbD3?id=616cb0e Last chance to take the prize.
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.gifts/gYbD3?id=6122448 Last chance to take the prize.
ham,I cant pick the phone right now. Pls send a message
ham,Come to my home for one last time i wont do anything. Trust me.
ham,ÌÏ v ma fan...
ham,Yo guess what I just dropped
ham,No. On the way home. So if not for the long dry spell the season would have been over
ham,"\BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & IåÕLLSPEAK 2U SOONLOTS OF LOVEME XXXX.\"""""
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,Babe ? I lost you ... :-(
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.click/gYbD3?id=617b964 Last chance to take the prize.
spam,Christmas gift! 🎄 🎄 🎄 You arе onе of the 10 users we havе sеleсted to try tо win the Apрlе iРad Prо (2021) + Magic Kеybоard Receive Now ➡️➡️➡️ groupm.è.to/w6Hqu?id=53c8ef2 Hurry up to рiсk up the рrizе within a day! ⏳⏳⏳
spam,❗️Important news!  🎉 You are one of the winner in our May contest. Your prize is the Apple iPad Pro (2022) More information here ➡️➡️➡️  http://groupme.gifts/gYbD3?id=6192bf6 Last chance to take the prize.
ham,Yes. that will be fine. Love you. Be safe.
ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
ham,WINNER! As a valued network customer you hvae been selected to receive a å£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM
ham,"Awesome, think we can get an 8th at usf some time tonight?"
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
ham,My friends use to call the same.
ham,Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar
ham,"Just looked it up and addie goes back Monday, sucks to be her"
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
spam,‌ More information here ➡️➡️➡️ http://groupme.xyz/mAQzC?id=5b47f1b
ham,Omg how did u know what I ate?
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
